優先,分類,項目名稱,企劃開表,期望完成,美術提交,介面截圖路徑,美術上傳路徑,拆圖歸檔路徑,企劃,功能,代圖操作,拆圖,編輯,final
1,對戰介面,戰鬥_online,2026.02.24,2026.03,2026.04.07,\\server02\SGF\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰介面\戰鬥_online.png  , \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\01.Battle,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,對戰介面,戰鬥_雙人單人,2026.02.24,2026.03,2026.04.07,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰介面\戰鬥_雙人單人.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\01.Battle,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,對戰介面,戰鬥暫停,2026.02.24,2026.03,2026.04.07,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰介面\戰鬥暫停.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\01.Battle,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習_戰鬥1,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習_戰鬥1.jpg, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習_戰鬥2,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習_戰鬥2.jpg, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習設定_1,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習設定_1.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習設定_2,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習設定_2.jpg, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習設定_3,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習設定_3.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習設定_4,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習設定_4.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,練習模式,練習設定_5,2026.02.24,2026.03,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式\練習設定_5.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
